operation,duration_ms
encrypt,0.374
decrypt,0.192
encrypt,0.194
decrypt,0.278
auth_total,17.137
encrypt,0.457
decrypt,0.286
encrypt,0.310
decrypt,0.281
encrypt,0.356
decrypt,0.133
encrypt,0.151
decrypt,0.291
auth_total,14.842
encrypt,0.166
decrypt,0.096
encrypt,0.208
decrypt,0.183
auth_total,13.189
encrypt,0.368
decrypt,0.266
encrypt,0.188
decrypt,0.319
encrypt,0.359
decrypt,0.153
encrypt,0.169
decrypt,0.259
auth_total,14.553
encrypt,0.315
decrypt,0.206
encrypt,0.180
decrypt,0.247
encrypt,0.433
decrypt,0.201
encrypt,0.158
decrypt,0.252
auth_total,18.151
encrypt,0.287
decrypt,0.156
encrypt,0.123
decrypt,0.137
encrypt,0.201
decrypt,0.174
encrypt,0.128
decrypt,0.257
auth_total,12.880
encrypt,0.487
decrypt,0.262
encrypt,0.259
decrypt,0.301
encrypt,0.173
decrypt,0.164
encrypt,0.118
decrypt,0.159
auth_total,15.072
encrypt,0.257
decrypt,0.289
encrypt,0.278
decrypt,0.212
encrypt,0.344
decrypt,0.181
encrypt,0.188
decrypt,0.135
auth_total,12.603
